                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5518,                 5.7282,                 4.3009,                      0,                      0,                      0,                      0,                 3.4636,                 5.3551,                 4.1593,               8.33e-06,               8.33e-06,               8.33e-06
                      2,                 3.6336,                 5.7174,                 4.2738,                      0,                      0,                      0,                      0,                 3.4632,                 5.3536,                 4.1601,             1.7673e-05,             1.7673e-05,             1.7673e-05
                      3,                 3.6022,                 5.6917,                 4.2873,                      0,                      0,                      0,                      0,                 3.4626,                 5.3551,                 4.1603,             2.6828e-05,             2.6828e-05,             2.6828e-05
                      4,                 3.6324,                 5.7199,                 4.2916,                      0,                      0,                      0,                      0,                 3.4621,                 5.3543,                 4.1608,             3.5794e-05,             3.5794e-05,             3.5794e-05
                      5,                 3.5416,                 5.7275,                 4.2369,                      0,                      0,                      0,                      0,                 3.4605,                  5.356,                 4.1608,             4.4572e-05,             4.4572e-05,             4.4572e-05
                      6,                 3.6225,                 5.6989,                 4.2659,                      0,                      0,                      0,                      0,                 3.4612,                 5.3562,                 4.1604,             5.3161e-05,             5.3161e-05,             5.3161e-05
                      7,                 3.5742,                 5.6799,                 4.2289,                      0,                      0,                      0,                      0,                 3.4605,                  5.357,                 4.1603,             6.1562e-05,             6.1562e-05,             6.1562e-05
                      8,                 3.6176,                 5.6619,                 4.2252,                      0,                      0,                      0,                      0,                 3.4594,                 5.3592,                   4.16,             6.9775e-05,             6.9775e-05,             6.9775e-05
                      9,                 3.5482,                 5.6575,                 4.2224,                      0,                      0,                      0,                      0,                 3.4574,                 5.3622,                 4.1589,             7.7798e-05,             7.7798e-05,             7.7798e-05
                     10,                 3.5881,                 5.6291,                 4.2151,                      0,                      0,                      0,                      0,                 3.4573,                 5.3652,                 4.1575,             8.5634e-05,             8.5634e-05,             8.5634e-05
                     11,                  3.627,                 5.6182,                  4.214,                      0,                      0,                      0,                      0,                 3.4552,                 5.3713,                 4.1548,             9.3281e-05,             9.3281e-05,             9.3281e-05
                     12,                 3.5938,                 5.6086,                 4.1949,                      0,                      0,                      0,                      0,                 3.4539,                 5.3758,                 4.1529,             0.00010074,             0.00010074,             0.00010074
                     13,                 3.5517,                 5.6268,                 4.1852,                      0,                      0,                      0,                      0,                 3.4529,                 5.3817,                 4.1504,             0.00010486,             0.00010486,             0.00010486
                     14,                  3.654,                 5.6284,                 4.1855,                      0,                      0,                      0,                      0,                 3.4516,                 5.3878,                 4.1478,             0.00010368,             0.00010368,             0.00010368
                     15,                 3.5507,                 5.5923,                 4.1754,                      0,                      0,                      0,                      0,                 3.4508,                 5.3916,                 4.1442,             0.00010251,             0.00010251,             0.00010251
                     16,                 3.5593,                 5.5785,                  4.183,                      0,                      0,                      0,                      0,                 3.4492,                 5.3927,                 4.1409,             0.00010133,             0.00010133,             0.00010133
                     17,                 3.5696,                 5.5301,                 4.1643,                      0,                      0,                      0,                      0,                 3.4466,                 5.3915,                 4.1373,             0.00010015,             0.00010015,             0.00010015
                     18,                 3.6294,                  5.545,                 4.1666,                      0,                      0,                      0,                      0,                 3.4413,                 5.3864,                 4.1335,             9.8972e-05,             9.8972e-05,             9.8972e-05
                     19,                 3.5288,                 5.5333,                 4.1532,                      0,                      0,                      0,                      0,                 3.4336,                 5.3766,                 4.1288,             9.7794e-05,             9.7794e-05,             9.7794e-05
                     20,                 3.5198,                  5.527,                   4.15,                0.00239,                0.00338,                0.00138,                0.00014,                 3.4263,                  5.351,                 4.1236,             9.6616e-05,             9.6616e-05,             9.6616e-05
                     21,                 3.5288,                 5.4867,                 4.1448,                0.00078,                0.00162,                0.00043,                  5e-05,                 3.4158,                 5.3048,                 4.1155,             9.5438e-05,             9.5438e-05,             9.5438e-05
                     22,                 3.6056,                 5.4669,                 4.1399,                0.00127,                 0.0024,                0.00072,                0.00015,                 3.4017,                 5.2426,                 4.1074,              9.426e-05,              9.426e-05,              9.426e-05
                     23,                 3.5745,                  5.523,                 4.1288,                0.00316,                0.00284,                0.00175,                0.00019,                 3.3919,                 5.1852,                 4.1017,             9.3082e-05,             9.3082e-05,             9.3082e-05
                     24,                 3.5297,                   5.46,                 4.1242,                0.00276,                0.00538,                0.00167,                0.00018,                 3.3884,                 5.1303,                 4.0965,             9.1904e-05,             9.1904e-05,             9.1904e-05
                     25,                 3.4325,                 5.4326,                 4.1172,                  6e-05,                0.00139,                  4e-05,                  1e-05,                 3.3816,                  5.078,                 4.0901,             9.0726e-05,             9.0726e-05,             9.0726e-05
                     26,                 3.5311,                 5.4243,                 4.1114,                0.00106,                0.00317,                 0.0006,                  7e-05,                 3.3676,                 5.0196,                 4.0869,             8.9547e-05,             8.9547e-05,             8.9547e-05
                     27,                 3.5422,                 5.4631,                 4.0984,                0.00154,                0.00914,                0.00103,                0.00027,                 3.3544,                  4.972,                 4.0842,             8.8369e-05,             8.8369e-05,             8.8369e-05
                     28,                 3.5778,                  5.394,                 4.1105,                0.00108,                0.00936,                0.00074,                0.00022,                  3.352,                 4.9498,                 4.0776,             8.7191e-05,             8.7191e-05,             8.7191e-05
                     29,                  3.663,                 5.3693,                 4.1037,                0.00127,                0.01218,                0.00109,                0.00023,                 3.3457,                 4.9427,                 4.0736,             8.6013e-05,             8.6013e-05,             8.6013e-05
                     30,                 3.5662,                 5.4097,                 4.0895,                0.00095,                0.01229,                0.00178,                0.00027,                 3.3462,                 4.9296,                  4.067,             8.4835e-05,             8.4835e-05,             8.4835e-05
                     31,                 3.4532,                 5.3309,                 4.0837,                0.00142,                0.01758,                0.00247,                0.00057,                 3.3431,                 4.9126,                 4.0588,             8.3657e-05,             8.3657e-05,             8.3657e-05
                     32,                 3.6139,                 5.3897,                 4.0647,                 0.0018,                0.02425,                 0.0045,                0.00102,                 3.3409,                 4.9014,                 4.0499,             8.2479e-05,             8.2479e-05,             8.2479e-05
                     33,                 3.5382,                 5.3653,                  4.063,                0.00185,                0.02431,                0.00414,                0.00082,                 3.3401,                 4.8924,                 4.0421,             8.1301e-05,             8.1301e-05,             8.1301e-05
                     34,                 3.4224,                 5.3357,                 4.0553,                0.00214,                0.02864,                0.00467,                0.00105,                 3.3335,                 4.8844,                 4.0331,             8.0123e-05,             8.0123e-05,             8.0123e-05
                     35,                 3.4492,                 5.4484,                 4.0604,                0.00179,                0.03344,                0.00432,                0.00088,                 3.3265,                 4.8888,                 4.0258,             7.8945e-05,             7.8945e-05,             7.8945e-05
                     36,                 3.4676,                 5.2965,                 4.0518,                0.00214,                0.03288,                0.00296,                0.00077,                 3.3149,                 4.8854,                 4.0165,             7.7766e-05,             7.7766e-05,             7.7766e-05
                     37,                 3.5404,                 5.3445,                 4.0321,                0.00153,                0.03182,                0.00238,                0.00062,                 3.3089,                 4.8744,                 4.0102,             7.6588e-05,             7.6588e-05,             7.6588e-05
                     38,                 3.4696,                 5.2877,                 4.0164,                0.00118,                0.03112,                 0.0021,                0.00058,                 3.3017,                 4.8655,                 4.0064,              7.541e-05,              7.541e-05,              7.541e-05
                     39,                 3.5524,                 5.3459,                 4.0244,                 0.0009,                0.02547,                0.00167,                0.00049,                  3.299,                   4.85,                 3.9987,             7.4232e-05,             7.4232e-05,             7.4232e-05
                     40,                 3.4231,                 5.3188,                 4.0171,                0.00101,                0.02508,                0.00165,                0.00048,                 3.3013,                 4.8391,                 3.9911,             7.3054e-05,             7.3054e-05,             7.3054e-05
                     41,                 3.5254,                 5.3017,                 4.0074,                0.00176,                0.02681,                0.00188,                 0.0006,                 3.3055,                 4.8403,                 3.9848,             7.1876e-05,             7.1876e-05,             7.1876e-05
                     42,                 3.4708,                  5.307,                 3.9941,                0.00183,                0.02664,                 0.0021,                0.00067,                 3.3045,                  4.842,                 3.9838,             7.0698e-05,             7.0698e-05,             7.0698e-05
                     43,                 3.4477,                 5.3399,                 3.9942,                0.00218,                0.02815,                0.00274,                 0.0009,                 3.2944,                   4.83,                 3.9801,              6.952e-05,              6.952e-05,              6.952e-05
                     44,                 3.5056,                 5.2573,                 3.9748,                0.00281,                0.02922,                0.00438,                0.00114,                 3.2889,                 4.8194,                 3.9769,             6.8342e-05,             6.8342e-05,             6.8342e-05
                     45,                 3.4658,                 5.2961,                 3.9827,                0.00267,                0.02989,                0.00473,                0.00134,                  3.284,                 4.8128,                 3.9734,             6.7164e-05,             6.7164e-05,             6.7164e-05
                     46,                 3.3823,                  5.343,                 3.9772,                0.00225,                0.03248,                0.00446,                0.00135,                 3.2786,                 4.8192,                 3.9709,             6.5986e-05,             6.5986e-05,             6.5986e-05
                     47,                 3.3702,                 5.2083,                 3.9548,                0.00228,                0.02933,                0.00391,                0.00164,                 3.2807,                 4.8312,                 3.9676,             6.4807e-05,             6.4807e-05,             6.4807e-05
                     48,                 3.4695,                 5.2865,                 3.9541,                 0.0023,                0.02961,                0.00313,                0.00129,                 3.2807,                 4.8282,                 3.9626,             6.3629e-05,             6.3629e-05,             6.3629e-05
                     49,                 3.4707,                 5.2423,                 3.9561,                0.00203,                0.02944,                0.00282,                 0.0011,                 3.2831,                 4.8252,                 3.9556,             6.2451e-05,             6.2451e-05,             6.2451e-05
                     50,                 3.4272,                 5.2001,                 3.9438,                0.00156,                0.02938,                 0.0026,                 0.0009,                 3.2763,                 4.8223,                 3.9491,             6.1273e-05,             6.1273e-05,             6.1273e-05
                     51,                 3.3723,                 5.2184,                 3.9482,                0.00121,                0.02668,                0.00229,                0.00069,                 3.2712,                 4.8238,                 3.9406,             6.0095e-05,             6.0095e-05,             6.0095e-05
                     52,                  3.439,                 5.2418,                  3.948,                0.00078,                0.02372,                0.00183,                 0.0006,                 3.2692,                 4.8401,                 3.9358,             5.8917e-05,             5.8917e-05,             5.8917e-05
                     53,                 3.4054,                 5.2368,                 3.9322,                 0.0007,                 0.0229,                0.00133,                0.00046,                  3.268,                 4.8367,                 3.9269,             5.7739e-05,             5.7739e-05,             5.7739e-05
                     54,                 3.4514,                 5.1997,                 3.9157,                0.00087,                0.02687,                 0.0011,                0.00031,                 3.2696,                   4.82,                 3.9212,             5.6561e-05,             5.6561e-05,             5.6561e-05
                     55,                 3.4531,                 5.1994,                  3.904,                0.00074,                0.02606,                0.00109,                0.00038,                 3.2719,                 4.7917,                 3.9172,             5.5383e-05,             5.5383e-05,             5.5383e-05
                     56,                 3.3289,                 5.1972,                 3.9204,                0.00079,                0.02947,                0.00127,                0.00045,                 3.2712,                 4.7699,                 3.9102,             5.4204e-05,             5.4204e-05,             5.4204e-05
                     57,                 3.4003,                 5.2234,                 3.9048,                0.00068,                0.02854,                0.00227,                0.00056,                 3.2656,                 4.7595,                 3.9016,             5.3026e-05,             5.3026e-05,             5.3026e-05
                     58,                 3.3043,                 5.1989,                 3.9136,                0.32552,                0.00574,                0.00214,                0.00055,                 3.2634,                 4.7503,                 3.8954,             5.1848e-05,             5.1848e-05,             5.1848e-05
                     59,                 3.3978,                 5.2023,                 3.9009,                0.33956,                 0.0058,                0.00262,                0.00077,                 3.2529,                 4.7376,                 3.8876,              5.067e-05,              5.067e-05,              5.067e-05
                     60,                  3.435,                 5.1887,                 3.9053,                0.31564,                0.00708,                0.00247,                 0.0007,                 3.2439,                 4.7361,                 3.8834,             4.9492e-05,             4.9492e-05,             4.9492e-05
                     61,                 3.3489,                 5.2292,                 3.8923,                0.29941,                0.00781,                 0.0027,                0.00072,                 3.2356,                 4.7362,                 3.8786,             4.8314e-05,             4.8314e-05,             4.8314e-05
                     62,                 3.4089,                 5.1727,                 3.9007,                0.00217,                0.04161,                0.00369,                0.00117,                   3.23,                 4.7462,                 3.8753,             4.7136e-05,             4.7136e-05,             4.7136e-05
                     63,                 3.4492,                 5.2112,                 3.8961,                0.00139,                 0.0436,                  0.003,                 0.0009,                 3.2321,                 4.7672,                 3.8721,             4.5958e-05,             4.5958e-05,             4.5958e-05
                     64,                  3.365,                 5.1401,                 3.8811,                0.00223,                0.04574,                0.00387,                0.00106,                 3.2279,                 4.7634,                 3.8704,              4.478e-05,              4.478e-05,              4.478e-05
                     65,                 3.3805,                 5.1098,                 3.8902,                0.00135,                0.03883,                 0.0023,                0.00065,                 3.2283,                 4.7673,                 3.8679,             4.3602e-05,             4.3602e-05,             4.3602e-05
                     66,                 3.3227,                  5.174,                 3.9063,                0.22916,                0.00739,                0.00225,                0.00062,                 3.2259,                 4.7676,                 3.8648,             4.2423e-05,             4.2423e-05,             4.2423e-05
                     67,                 3.3668,                 5.1265,                 3.8577,                0.30069,                0.00195,                0.00248,                0.00071,                  3.221,                 4.7586,                 3.8655,             4.1245e-05,             4.1245e-05,             4.1245e-05
                     68,                 3.3709,                 5.1487,                 3.8644,                0.32609,                0.00477,                0.00518,                 0.0011,                 3.2178,                 4.7403,                 3.8625,             4.0067e-05,             4.0067e-05,             4.0067e-05
                     69,                 3.2948,                 5.0832,                 3.8612,                0.36142,                0.00541,                0.00552,                0.00114,                 3.2126,                 4.7125,                 3.8588,             3.8889e-05,             3.8889e-05,             3.8889e-05
                     70,                 3.4039,                 5.1488,                 3.8677,                 0.3462,                0.00881,                0.00603,                0.00129,                 3.2067,                 4.6897,                 3.8544,             3.7711e-05,             3.7711e-05,             3.7711e-05
