                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5947,                 9.2173,                 5.7837,                 4.2774,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.4634,                 5.2213,                 5.3546,                 4.1586,               8.33e-06,               8.33e-06,               8.33e-06
                      2,                 3.6437,                 8.2714,                 5.7621,                 4.2637,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.4636,                 5.2219,                 5.3521,                 4.1582,             1.7673e-05,             1.7673e-05,             1.7673e-05
                      3,                 3.6361,                 8.1218,                 5.7458,                  4.278,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.4635,                  5.222,                 5.3514,                 4.1578,             2.6828e-05,             2.6828e-05,             2.6828e-05
                      4,                 3.6452,                 8.5442,                 5.7849,                 4.2734,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.4636,                 5.2234,                 5.3502,                 4.1572,             3.5794e-05,             3.5794e-05,             3.5794e-05
                      5,                  3.537,                 6.4799,                 5.7603,                 4.2305,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.4625,                 5.2251,                 5.3488,                 4.1563,             4.4572e-05,             4.4572e-05,             4.4572e-05
                      6,                 3.6453,                 6.3503,                 5.7504,                 4.2431,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.4619,                  5.228,                  5.348,                 4.1551,             5.3161e-05,             5.3161e-05,             5.3161e-05
                      7,                  3.577,                 5.8901,                 5.7291,                 4.2138,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.4614,                 5.2275,                 5.3476,                 4.1536,             6.1562e-05,             6.1562e-05,             6.1562e-05
                      8,                 3.6007,                 5.7202,                 5.7045,                 4.2082,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.4615,                 5.2268,                  5.347,                 4.1511,             6.9775e-05,             6.9775e-05,             6.9775e-05
                      9,                 3.5493,                 5.4619,                  5.692,                 4.2023,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.4609,                 5.2238,                 5.3422,                  4.147,             7.7798e-05,             7.7798e-05,             7.7798e-05
                     10,                 3.6143,                 5.3085,                 5.6805,                 4.1896,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                   3.46,                 5.2131,                 5.3394,                 4.1433,             8.5634e-05,             8.5634e-05,             8.5634e-05
